__id,data_loaded_at,the_geom,analysis_neighborhood,supervisor_district,cultural_districts,number_of_districts,longitude,latitude,zip_code,street_address_or_intersection,location_description,current_location,facility,media_support,medium,display_dimensions,display_title,credit_line,artist,accession_number,data_as_of,creation_date
row-cfff_88s6_rq68,2024-04-25T13:55:19.101,SRID=4326;POINT (-122.405897643 37.802316863),North Beach,03,,0,-122.4058976,37.80231686,94133,1 Telegraph Hill Boulevard,1St Floor,Public Display,Coit Tower,Fresco,Fresco,120 x 432 in.,Industries of California,Collection of the City and County of San Francisco; Commissioned by the Public Works of Art Project for Coit Tower,"Stackpole, Ralph",1934.5,2024-04-17T12:53:50.300,1934
row-fp4v-edkn.5hyi,2024-04-25T13:55:19.101,,,,,0,,,94128,,BA/G : Outdoor Terrace,SFO,International Terminal,Bronze,Bronze,6ft x 4ft x 2ft,Turn,Collection of the City and County of San Francisco; Commissioned by the San Francisco Arts Commission for San Francisco International Airport,"De Othello, Woody",T2018.30b,2024-04-17T12:53:50.300,2019
row-r8bp_rpt2~vn6t,2024-04-25T13:55:19.101,SRID=4326;POINT (-122.418830559 37.779328456),Tenderloin,05,,0,-122.4188306,37.77932846,94102,1 Dr. Carlton B. Goodlet Place,"2nd floor, Mayor's Rotunda",Public Display,City Hall,Cast bronze on marble,Cast Bronze,87  x 30  x 27 1/2 in.,George Moscone,Collection of the City and County of San Francisco,"Anargyros, Spero",1994.16,2024-04-17T12:53:50.300,
row-6kf2-jna3_bkjv,2024-04-25T13:55:19.101,SRID=4326;POINT (-122.440837207 37.73186574),West of Twin Peaks,07,,0,-122.4408372,37.73186574,94131,236 Monterey Boulevard,Garden Walkways,Public Display,Sunnyside Conservatory,Bronze on concrete,Bronze,3 1/4 x 3 1/2 x 3/4 in.,Sunnyside Menagerie [glyphies],Collection of the City and County of San Francisco; Commissioned by the San Francsisco Arts Commission for the Sunnyside Conservatory,Wowhaus,2009.7.6,2024-04-17T12:53:50.300,2009
row-k2ez-6yrq-q9i2,2024-04-25T13:55:19.101,,,,,0,,,94123,Marina Green Drive,Marina Green drive between Fillmore and Avila St.; along the waterfront,Public Display,Marina Green Drive,Bronze on granite,Bronze,168 x 108 x 72 in.,William C. Ralston (1826-1875) Monument,Collection of the City and County of San Francisco; Gift of Major Edward Bowos,"Patigian, Haig",1940.8,2024-04-17T12:53:50.300,1941
row-v5je_rma6_3zrk,2024-04-25T13:55:19.101,SRID=4326;POINT (-122.428492008 37.742582208),Noe Valley,08,,0,-122.428492,37.74258221,94131,295 Day Street,30Th St. Entrance,Public Display,Upper Noe Recreation Center,Forged and fabricated steel,Forged and fabricated steel,60 x 36 x 36 in.,Noe Valley Natives,Collection of the City and County of San Francisco; Commissioned by the San Francisco Arts Commission for the Upper Noe Recreation Center,"Corliss, Troy",2008.13.2,2024-04-17T12:53:50.300,2008
row-wx6j~bt5q~4smx,2024-04-25T13:55:19.101,SRID=4326;POINT (-122.510050184 37.773264406),Outer Richmond,01,,0,-122.5100502,37.77326441,94121,Cabrillo Street & La Playa Street,Northeast Intersection Corner,Public Display,MUNI terminal,Stainless steel mesh over steel armature with photo-etched plaques,Stainless steel mesh over steel armature with photo-etched plaques,186 x 100 x 4 1/2 in.,Playland Revisited [Laughing Sal],Collection of the City and County of San Francisco; Commissioned by the San Francisco Arts Commission for the Ocean Beach Terminal Project,"Beldner, Ray",1996.1.1,2024-04-17T12:53:50.300,1996
row-a6gz.rek5~fw4d,2024-04-25T13:55:19.101,SRID=4326;POINT (-122.414825274 37.757106393),Mission,09,,0,-122.4148253,37.75710639,94110,2502 Folsom Street,"Clubhouse Exterior Façade; Park is boarded by Folsom, 21st and Shotwell Streets",Public Display,Jose Coronado Playground,Terracotta tile,Terracotta tile,"8"" sq. tiles; four larger figures on two walls",Raizes/Roots,Collection of the City and County of San Francisco; Commissioned by the San Francisco Arts Commission for the Jose Coronado Playground Recreation Center,"Pineda, Eduardo and Patlan, Ray",2000.4.a-d,2024-04-17T12:53:50.300,2000
row-kqud~y8kz~tbpy,2024-04-25T13:55:19.101,,,,,0,,,94128,,"Gate 71A, Level 2",SFO,Terminal 3,Pigment Print on archival paper on mounted on Sintra,Pigment Print,37 x 33 in.,Forever in the Sky: Bayview,Collection of the City and County of San Francisco Purchased by the San Francisco Arts Commission and the Airport Commission for the San Francisco International Airport,"Mazinani, Sanaz",2016.25.e,2024-04-17T12:53:50.300,2013
row-9tnd.s3ve_e89p,2024-04-25T13:55:19.101,SRID=4326;POINT (-122.417612724 37.779485399),Tenderloin,05,,0,-122.4176127,37.7794854,94102,355 McAllister Street,West End At Hyde Street,Public Display,United Nations Plaza,Bronze on concrete,Bronze,"approx. 2 stories h x 278"" w x 184"" d",Simon Bolivar,Collection of the City and County of San Francisco; Gift of the President of Venezuela to the City of San Francisco,"Villegas, Victor Hugo Barranechea",1984.7,2024-04-17T12:53:50.300,1981
